Production Rate,Hybrid Time per Iteration (s),SSA Time per Iteration (s),Max Concentration
1,0.2682943584048189,0.024331758206244558,100.0
2,0.44752042499603706,0.07389764999970794,150.0
3,1.0618319082073868,0.12214702499331906,200.0
4,0.4499812584021129,0.24717168339993806,250.0
5,0.3372526334016584,0.3735510334023274,300.0
6,0.29675103339832276,0.5729174833977595,350.0
7,0.273687066801358,0.7506858918000944,400.0
